time,lat,lon,alt
1692795661,55.266,-56.968,479405.701
1692795721,51.525,-58.589,478404.626
1692795781,47.767,-60.002,477439.469
1692795841,43.996,-61.259,476530.320
1692795901,40.214,-62.396,475697.301
1692795961,36.423,-63.439,474960.186
1692796021,32.626,-64.409,474338.021
1692796081,28.822,-65.321,473848.745
1692796141,25.013,-66.186,473508.831
1692796201,21.199,-67.015,473332.946
1692796261,17.383,-67.814,473333.633
1692796321,13.564,-68.591,473521.041
1692796381,9.743,-69.352,473902.678
1692796441,5.922,-70.100,474483.229
1692796501,2.100,-70.842,475264.411
1692796561,-1.720,-71.582,476244.891
1692796621,-5.540,-72.323,477420.251
1692796681,-9.357,-73.071,478783.019
1692796741,-13.171,-73.829,480322.750
1692796801,-16.982,-74.603,482026.166
1692796861,-20.788,-75.398,483877.341
1692796921,-24.589,-76.221,485857.944
1692796981,-28.383,-77.079,487947.511
1692797041,-32.171,-77.982,490123.766
1692797101,-35.951,-78.940,492362.962
1692797161,-39.723,-79.969,494640.254
1692797221,-43.484,-81.088,496930.079
1692797281,-47.233,-82.320,499206.553
1692797341,-50.968,-83.700,501443.865
1692797401,-54.687,-85.276,503616.664
1692797461,-58.384,-87.118,505700.442
1692797521,-62.052,-89.329,507671.891
1692797581,-65.682,-92.074,509509.245
1692797641,-69.255,-95.623,511192.587
1692797701,-72.738,-100.449,512704.130
1692797761,-76.065,-107.434,514028.461
1692797821,-79.097,-118.281,515152.744
1692797881,-81.514,-135.987,516066.885
1692797941,-82.681,-162.673,516763.655
1692798001,-82.030,168.798,517238.771
1692798061,-79.908,148.402,517490.922
1692798121,-77.017,135.879,517521.771
1692798181,-73.761,127.972,517335.889
1692798241,-70.321,122.621,516940.665
1692798301,-66.777,118.754,516346.166
1692798361,-63.169,115.804,515564.952
1692798421,-59.519,113.455,514611.867
1692798481,-55.840,111.516,513503.783
1692798541,-52.138,109.870,512259.317
1692798601,-48.419,108.437,510898.522
1692798661,-44.686,107.165,509442.554
1692798721,-40.942,106.017,507913.321
1692798781,-37.188,104.964,506333.121
1692798841,-33.426,103.987,504724.273
1692798901,-29.656,103.070,503108.746
1692798961,-25.880,102.200,501507.799
1692799021,-22.097,101.369,499941.630
1692799081,-18.310,100.567,498429.045
1692799141,-14.519,99.789,496987.156
1692799201,-10.724,99.028,495631.107
1692799261,-6.926,98.280,494373.840
1692799321,-3.126,97.539,493225.904
1692799381,0.676,96.802,492195.306
1692799441,4.479,96.064,491287.417
1692799501,8.282,95.320,490504.928
1692799561,12.085,94.567,489847.855
1692799621,15.886,93.800,489313.599
1692799681,19.686,93.012,488897.057
1692799741,23.484,92.199,488590.782
1692799801,27.278,91.352,488385.184
1692799861,31.068,90.464,488268.773
1692799921,34.853,89.522,488228.440
1692799981,38.633,88.514,488249.763
1692800041,42.404,87.422,488317.333
1692800101,46.167,86.223,488415.107
1692800161,49.919,84.885,488526.756
1692800221,53.657,83.365,488636.025
1692800281,57.377,81.598,488727.082
1692800341,61.073,79.490,488784.863
1692800401,64.735,76.895,488795.392
1692800461,68.347,73.570,488746.084
1692800521,71.881,69.100,488626.017
1692800581,75.279,62.718,488426.174
1692800641,78.425,52.939,488139.647
1692800701,81.048,37.005,487761.802
1692800761,82.572,11.946,487290.405
1692800821,82.313,-17.526,486725.695
1692800881,80.414,-40.052,486070.422
1692800941,77.606,-53.970,485329.834
1692801001,74.370,-62.622,484511.616
1692801061,70.922,-68.380,483625.786
1692801121,67.357,-72.484,482684.543
1692801181,63.722,-75.580,481702.081
1692801241,60.041,-78.025,480694.350
1692801301,56.328,-80.029,479678.793
1692801361,52.592,-81.722,478674.039
1692801421,48.838,-83.189,477699.580
1692801481,45.071,-84.486,476775.414
1692801541,41.292,-85.654,475921.679
1692801601,37.504,-86.722,475158.275
1692801661,33.708,-87.711,474504.477
1692801721,29.906,-88.638,473978.567
1692801781,26.098,-89.515,473597.456
1692801841,22.286,-90.353,473376.344
1692801901,18.470,-91.160,473328.399
1692801961,14.652,-91.943,473464.460
1692802021,10.832,-92.708,473792.800
1692802081,7.010,-93.459,474318.911
1692802141,3.189,-94.203,475045.355
1692802201,-0.632,-94.943,475971.662
1692802261,-4.452,-95.683,477094.281
1692802321,-8.270,-96.428,478406.596
1692802381,-12.085,-97.183,479898.987
